SiteID,Description,Host_Taxon,Location
69CV.5,69CV-5,Mellicope,Culvert_69
DS.5,DS-5,Myrica,Dan_Sievert-Palikea
SP.3,SP-3,Unknown,Skeet_Pass
3P.5,3P-5,Antidesma,3_Points
EKH.20,EKH-20,Unknown,Ekahanui
KB.9,KB-9,Lapalapa,Kaala_Bog
EKH.15,EKH-15,Unknown,Ekahanui
KK.1,KK-1,Manono,Kaaikukai
KK.8,KK-8,Trema,Kaaikukai
3P.10,3P-10,Hapuu,3_Points
KB.4,KB-4,Mellicope,Kaala_Bog
3P.9,3P-9,Maile,3_Points
DS.9,DS-9,Psychotria,Dan_Sievert-Palikea
C9CV.14,C9CV-14,Freycinetia,Culvert_69
KK.5,KK-5,Schinus,Kaaikukai
3P.4,3P-4,Koa,3_Points
SP.6,SP-6,Unknown,Skeet_Pass
EKH.16,EKH-16,Unknown,Ekahanui
KK.14,KK-14,Naupaka,Kaaikukai
SP.4,SP-4,Unknown,Skeet_Pass
SP.10,SP-10,Unknown,Skeet_Pass
3P.8,3P-8,Naupaka,3_Points
69CV.8,69CV-8,Ohia,Culvert_69
69CV.10,69CV-10,Coprasma,Culvert_69
KB.2,KB-2,Vaccinium,Kaala_Bog
EKH.26,EKH-26,Unknown,Ekahanui
SP.20,SP-20,Unknown,Skeet_Pass
3P.2,3P-2,Kattoa,3_Points
DS.1,DS-1,Manono,Dan_Sievert-Palikea
3P.6,3P-6,Coprasma,3_Points
EKH.23,EKH-23,Unknown,Ekahanui
DS.6,DS-6,Ilex,Dan_Sievert-Palikea
KK.2,KK-2,Psidium,Kaaikukai
KK.7,KK-7,Psidium,Kaaikukai
KK.3,KK-3,Koa,Kaaikukai
EKH.22,EKH-22,Unknown,Ekahanui
KK.10,KK-10,Citrus,Kaaikukai
69CV.2,69CV-2,Ilex,Culvert_69
KB.6,KB-6,Pukiawe,Kaala_Bog
SP.12,SP-12,Unknown,Skeet_Pass
SP.19,SP-19,Unknown,Skeet_Pass
DS.3,DS-3,Psidium,Dan_Sievert-Palikea
SP.21,SP-21,Unknown,Skeet_Pass
KK.11,KK-11,Psychotria,Kaaikukai
EKH.21,EKH-21,Unknown,Ekahanui
SP.7,SP-7,Unknown,Skeet_Pass
SP.16,SP-16,Unknown,Skeet_Pass
3P.1,3P-1,Ohia,3_Points
69CV.13,69CV-13,Kadoa,Culvert_69
KB.3,KB-3,Ilex,Kaala_Bog
KB.14,KB-14,Bidens,Kaala_Bog
DS.2,DS-2,Chirodendron,Dan_Sievert-Palikea
EKH.25,EKH-25,Unknown,Ekahanui
KK.4,KK-4,Ohia,Kaaikukai
KK.9,KK-9,Melaleuca,Kaaikukai
SP.2,SP-2,Unknown,Skeet_Pass
3P.3,3P-3,Peretedia,3_Points
SP.1,SP-1,Unknown,Skeet_Pass
SP.15,SP-15,Unknown,Skeet_Pass
SP.5,SP-5,Unknown,Skeet_Pass
KB.1,KB-1,Ohia,Kaala_Bog
KB.7,KB-7,Brusasia,Kaala_Bog
SP.14,SP-14,Unknown,Skeet_Pass
3P.7,3P-7,Wikstromia,3_Points
SP.11,SP-11,Unknown,Skeet_Pass
69CV.9,69CV-9,Peretedia,Culvert_69
KB.10,KB-10,Pepperomia,Kaala_Bog
69CV.3,69CV-3,Pukiawe,Culvert_69
69CV.11,69CV-11,Naupaka,Culvert_69
C9CV.15,C9CV-15,Merciane,Culvert_69
DS.7,DS-7,Ieie,Dan_Sievert-Palikea
DS.10,DS-10,Ileocarpus,Dan_Sievert-Palikea
DS.4,DS-4,Schinus,Dan_Sievert-Palikea
EKH.28,EKH-28,Unknown,Ekahanui
KK.13,KK-13,Coprasma,Kaaikukai
SP.13,SP-13,Unknown,Skeet_Pass
69CV.1,69CV-1,Ohia,Culvert_69
EKH.6,EKH-6,Unknown,Ekahanui
EKH.24,EKH-24,Unknown,Ekahanui
69CV.7,69CV-7,Ilex,Culvert_69
KB.8,KB-8,Coprasma,Kaala_Bog
DS.8,DS-8,Uluhe,Dan_Sievert-Palikea
69CV.4,69CV-4,Vaccinium,Culvert_69
69CV.6,69CV-6,Lapalapa,Culvert_69
KB.5,KB-5,Hapuu,Kaala_Bog
KB.12,KB-12,Coprasma,Kaala_Bog
SP.9,SP-9,Unknown,Skeet_Pass
KB.13,KB-13,Merciane,Kaala_Bog
69CV.12,69CV-12,Wikstromia,Culvert_69
KB.11,KB-11,Smilax,Kaala_Bog
KK.6,KK-6,Syzgium,Kaaikukai
KK.12,KK-12,Antidesma,Kaaikukai
EKH.27,EKH-27,Unknown,Ekahanui
